id1178274,1,1/8/16 20:50,1/8/16 20:54,2,-73.95500183,40.77325058,-73.95793152,40.78216553,N,0.634928219,228,1897,491
id1340063,1,1/8/16 20:50,1/8/16 21:00,1,-73.94560242,40.77436447,-73.96799469,40.75558472,N,1.748858649,548,4751,641
id2131096,2,1/8/16 20:50,1/8/16 21:53,1,-73.99443817,40.72472382,-73.92539215,40.84611511,N,9.134644304,3747,20709,1832
id1958183,1,1/8/16 20:51,1/8/16 21:10,1,-73.98420715,40.75920105,-73.98823547,40.72962189,N,2.055151533,1128,4577,1194
id0626541,1,1/8/16 20:51,1/8/16 21:03,1,-73.9723053,40.75383759,-73.91690063,40.75614929,N,2.905024632,723,6296,1102
id3081721,2,1/8/16 20:51,1/8/16 21:10,1,-73.95396423,40.7748909,-73.99075317,40.75114059,N,2.530425404,1121,6331,1158
id3726362,1,1/8/16 20:51,1/8/16 21:14,1,-73.98817444,40.76229095,-73.9865036,40.7281456,N,2.361501925,1393,5464,1403
id0412561,1,1/8/16 20:51,1/8/16 21:05,2,-73.98677826,40.76026154,-74.00428009,40.7309761,N,2.221795873,861,4452,1032
id0600788,1,1/8/16 20:51,1/8/16 21:07,2,-73.96649933,40.77312851,-73.99311066,40.7529335,N,1.971952718,945,3928,1131
id2254398,1,1/8/16 20:52,1/8/16 20:55,1,-73.99072266,40.73488235,-73.99223328,40.73053741,N,0.310537401,182,525,137
id1512256,2,1/8/16 20:52,1/8/16 20:56,1,-73.98264313,40.77202225,-73.99047852,40.77535629,N,0.470397013,280,1367,343
id2088520,2,1/8/16 20:52,1/8/16 21:00,5,-73.97687531,40.78501892,-73.96649933,40.77312851,N,0.984984425,453,2568,604
id0976471,1,1/8/16 20:52,1/8/16 21:08,1,-73.9968338,40.72063828,-73.93939972,40.69989395,N,3.333009365,934,5540,1070
id2890473,1,1/8/16 20:52,1/8/16 21:03,1,-73.98215485,40.76838684,-73.96800995,40.75260925,N,1.318084018,674,2749,781
